transaction_id,transaction_date,voucher_no,account_head,account_type,category,sub_category,party_name,payment_method,bank_name,reference,debit,credit,amount,remarks,created_by
56,2025-07-04,VCH-000056,Administrative Expenses,Expense,OPEX,COGS,Global Enterprises,Bank Transfer,Dutch Bangla Bank,REF-9806-qGEh,20229.15,0.0,20229.15,Decision various dog today both every.,Accounts Officer
57,2025-01-02,VCH-000057,Managing Director Personal Expense,Equity,Drawings,Operations,ABC Corporation,Bkash,City Bank,REF-3154-CWqf,86528.42,0.0,86528.42,Organization debate fight hair.,Admin
58,2024-11-27,VCH-000058,Marketing & Sales Expenses,Expense,OPEX,Operations,Green Energy Co.,Bkash,Nagad,REF-3469-MTvW,78913.87,0.0,78913.87,Purpose wall either statement.,Admin
59,2025-10-21,VCH-000059,Packing Materials,Expense,COGS,COGS,Green Energy Co.,Cheque,Rupali Bank,REF-8539-HPad,78125.58,0.0,78125.58,Economic scene owner hundred item simply.,Admin
60,2025-09-14,VCH-000060,Salaries & Employee Benefits,Expense,OPEX,Sales,Prime Services,Bank Transfer,BRAC Bank,REF-6191-fePo,45322.38,0.0,45322.38,Rock change fact.,Managing Director
61,2025-04-11,VCH-000061,Loan From Managing Director,Liability,Loan,Sales,ABC Corporation,Bkash,Janata Bank,REF-5360-rhla,19960.08,0.0,19960.08,Side surface floor name.,Admin
62,2024-07-17,VCH-000062,Administrative Expenses,Expense,OPEX,Sales,Prime Services,Bank Transfer,Bkash,REF-0729-QDmb,80955.97,0.0,80955.97,Present on turn partner sense debate.,Admin
63,2024-08-28,VCH-000063,Packing Materials,Expense,COGS,Sales,ABC Corporation,Bkash,Nagad,REF-2083-gPSz,86626.31,0.0,86626.31,Scene forward information.,Managing Director
64,2025-09-12,VCH-000064,Investment Payment,Equity,Capital,Operations,Global Enterprises,Cheque,Bkash,REF-0139-obtg,38642.6,0.0,38642.6,Decade name idea job might.,Accounts Officer
65,2025-03-24,VCH-000065,Loan From Managing Director,Liability,Loan,Operations,Prime Services,Bank Transfer,Dutch Bangla Bank,REF-7582-dsLJ,60520.7,0.0,60520.7,Cultural myself huge.,Admin
66,2026-01-23,VCH-000066,Loan From Managing Director,Liability,Loan,Banking,XYZ Ltd.,Bank Transfer,Nagad,REF-9549-SKJF,70265.45,0.0,70265.45,Matter likely energy spend attorney imagine discover.,Managing Director
67,2025-06-12,VCH-000067,Production or Cost of Goods Sold (COGS),Expense,COGS,Sales,XYZ Ltd.,Bank Transfer,Nagad,REF-5974-kmNw,5471.52,0.0,5471.52,Wall local part contain pattern reality particular within.,Accounts Officer
68,2025-01-04,VCH-000068,Financial Expenses,Expense,Finance,Expense,Prime Services,Bkash,BRAC Bank,REF-6746-qNCM,3206.31,0.0,3206.31,Threat apply around health news.,Finance Manager
69,2024-12-05,VCH-000069,Product Sales,Revenue,Sales,COGS,XYZ Ltd.,Cash,Sonali Bank,REF-6032-mjTo,0.0,49375.07,49375.07,Technology seven appear seven act.,Managing Director
70,2025-05-15,VCH-000070,Managing Director Personal Expense,Equity,Drawings,Expense,Global Enterprises,Bkash,Sonali Bank,REF-6481-VVDI,85578.22,0.0,85578.22,End bill leg with population shake.,Managing Director
71,2025-12-12,VCH-000071,Depreciation & Amortization,Expense,Non-Cash,Operations,Green Energy Co.,Bank Transfer,Sonali Bank,REF-7422-FbqY,65527.14,0.0,65527.14,Level it five leave rest.,Finance Manager
72,2025-08-21,VCH-000072,Managing Director Personal Expense,Equity,Drawings,Expense,Global Enterprises,Bank Transfer,Bkash,REF-8058-htPN,73290.02,0.0,73290.02,Even government decision follow.,Accounts Officer
73,2025-11-21,VCH-000073,Loan From Managing Director,Liability,Loan,COGS,Prime Services,Bank Transfer,Rupali Bank,REF-3405-SAMz,82880.65,0.0,82880.65,View rich position training.,Finance Manager
74,2025-12-26,VCH-000074,Administrative Expenses,Expense,OPEX,Sales,Prime Services,Cheque,Bkash,REF-1003-fZtN,9769.34,0.0,9769.34,Late why before what share environmental soon.,Finance Manager
75,2024-08-16,VCH-000075,Managing Director Personal Expense,Equity,Drawings,Sales,XYZ Ltd.,Nagad,Dutch Bangla Bank,REF-2250-bkih,37531.74,0.0,37531.74,Film American where focus story.,Accounts Officer
76,2025-09-05,VCH-000076,Packing Materials,Expense,COGS,Operations,Green Energy Co.,Bkash,Nagad,REF-6167-nPLR,68454.87,0.0,68454.87,Population may writer fire growth recently.,Finance Manager
77,2025-07-28,VCH-000077,Depreciation & Amortization,Expense,Non-Cash,Capital,ABC Corporation,Cheque,Janata Bank,REF-5887-uDMo,48637.22,0.0,48637.22,Moment soon although rest activity candidate various.,Accounts Officer
78,2026-02-08,VCH-000078,Production or Cost of Goods Sold (COGS),Expense,COGS,Expense,Global Enterprises,Cash,Sonali Bank,REF-5774-aaxa,60366.77,0.0,60366.77,Early opportunity my cover religious ready their.,Managing Director
79,2025-09-16,VCH-000079,Miscellaneous Expenses,Expense,Other,Expense,Tech Solutions,Cash,City Bank,REF-0529-JxPk,1681.77,0.0,1681.77,Machine create when organization attack.,Accounts Officer
80,2026-03-21,VCH-000080,Product Sales,Revenue,Sales,Capital,Innovate Ltd.,Cheque,Nagad,REF-1187-ORbh,0.0,42922.79,42922.79,Success society budget attack with high such.,Accounts Officer
81,2024-09-09,VCH-000081,Packing Materials,Expense,COGS,Banking,ABC Corporation,Bank Transfer,Bkash,REF-4797-FNVd,38152.54,0.0,38152.54,Current offer base movie across under I.,Admin
82,2025-10-20,VCH-000082,Salaries & Employee Benefits,Expense,OPEX,Operations,Prime Services,Bank Transfer,Rupali Bank,REF-0474-bzil,89980.99,0.0,89980.99,Shake skill political simple fill.,Accounts Officer
83,2026-02-01,VCH-000083,Packing Materials,Expense,COGS,Capital,Innovate Ltd.,Nagad,BRAC Bank,REF-5619-UgrP,50416.38,0.0,50416.38,Fly wall same much sure order adult professional.,Finance Manager
84,2024-12-08,VCH-000084,Investment Payment,Equity,Capital,COGS,Prime Services,Cash,Nagad,REF-2070-fVGu,6577.27,0.0,6577.27,Low fish leg.,Managing Director
85,2024-08-01,VCH-000085,Investment Payment,Equity,Capital,Expense,ABC Corporation,Cheque,Bkash,REF-4427-QYCX,84184.01,0.0,84184.01,Dog condition certainly nearly current.,Finance Manager
86,2025-02-11,VCH-000086,Loan From Managing Director,Liability,Loan,Capital,XYZ Ltd.,Cheque,City Bank,REF-7510-XMjX,77335.73,0.0,77335.73,Economy general window speak happen market.,Finance Manager
87,2025-07-26,VCH-000087,Managing Director Personal Expense,Equity,Drawings,Banking,Innovate Ltd.,Cash,Janata Bank,REF-9267-DZdh,65413.99,0.0,65413.99,Key investment generation summer.,Managing Director
88,2026-03-15,VCH-000088,Salaries & Employee Benefits,Expense,OPEX,Sales,XYZ Ltd.,Cash,Bkash,REF-5887-KWwB,14886.6,0.0,14886.6,Require discuss machine her.,Admin
89,2026-02-17,VCH-000089,Selling & Distribution Expenses,Expense,OPEX,Sales,Green Energy Co.,Cash,Sonali Bank,REF-2335-UOif,30285.63,0.0,30285.63,Out certain clear land tough center.,Managing Director
90,2025-03-24,VCH-000090,Packing Materials,Expense,COGS,Expense,Green Energy Co.,Cheque,Janata Bank,REF-4389-jcqH,2568.19,0.0,2568.19,Sense laugh although majority.,Accounts Officer
91,2025-04-19,VCH-000091,Marketing & Sales Expenses,Expense,OPEX,COGS,Innovate Ltd.,Cash,Dutch Bangla Bank,REF-3692-ZOMD,2282.73,0.0,2282.73,Player model kid learn near manage according.,Accounts Officer
92,2024-10-23,VCH-000092,Depreciation & Amortization,Expense,Non-Cash,Expense,Green Energy Co.,Cash,Nagad,REF-8080-Hrmp,3376.29,0.0,3376.29,Avoid poor sister population.,Accounts Officer
93,2025-03-19,VCH-000093,Product Sales,Revenue,Sales,COGS,Prime Services,Cash,Dutch Bangla Bank,REF-8019-EkQV,0.0,33299.51,33299.51,Manager stop group series.,Accounts Officer
94,2025-07-25,VCH-000094,Financial Expenses,Expense,Finance,Capital,Prime Services,Bank Transfer,Bkash,REF-5632-gOLI,67867.15,0.0,67867.15,Activity analysis people indicate rise join here.,Admin
95,2026-03-30,VCH-000095,Miscellaneous Expenses,Expense,Other,Sales,Prime Services,Nagad,Dutch Bangla Bank,REF-3875-UEYU,42644.82,0.0,42644.82,Car leader personal wind instead painting.,Managing Director
96,2024-06-29,VCH-000096,Administrative Expenses,Expense,OPEX,Operations,Tech Solutions,Bkash,Sonali Bank,REF-5253-TguA,22225.24,0.0,22225.24,Quite prevent option watch be natural particularly sure.,Finance Manager
97,2025-09-21,VCH-000097,Selling & Distribution Expenses,Expense,OPEX,Expense,Prime Services,Bank Transfer,City Bank,REF-8972-ApNN,38567.64,0.0,38567.64,Hour outside least gas edge someone exactly.,Managing Director
98,2025-01-03,VCH-000098,Selling & Distribution Expenses,Expense,OPEX,Expense,Prime Services,Bkash,Janata Bank,REF-5482-Ozkt,47378.35,0.0,47378.35,Raise usually first set meeting the discussion.,Admin
99,2025-12-24,VCH-000099,Cashout Charge,Expense,Bank Charge,Expense,ABC Corporation,Nagad,Janata Bank,REF-6918-YzDz,89740.74,0.0,89740.74,Under then spring wall wonder.,Admin
100,2025-06-04,VCH-000100,Cashout Charge,Expense,Bank Charge,Sales,XYZ Ltd.,Bkash,Janata Bank,REF-9348-VOsV,26495.44,0.0,26495.44,Watch perhaps city detail act sister agency.,Managing Director
101,2024-11-09,VCH-000101,Selling & Distribution Expenses,Expense,OPEX,Banking,ABC Corporation,Cash,BRAC Bank,REF-8172-IBsS,89633.07,0.0,89633.07,All positive bad election sell piece people.,Managing Director
102,2025-05-17,VCH-000102,Salaries & Employee Benefits,Expense,OPEX,Operations,XYZ Ltd.,Bkash,Dutch Bangla Bank,REF-4408-peTs,86196.6,0.0,86196.6,Top measure American pretty probably family interview.,Admin
103,2024-10-08,VCH-000103,Investment Payment,Equity,Capital,Capital,XYZ Ltd.,Cash,Nagad,REF-9664-ItGu,46424.49,0.0,46424.49,Pass remain ever generation.,Admin
104,2025-11-20,VCH-000104,Product Sales,Revenue,Sales,Operations,Green Energy Co.,Nagad,Rupali Bank,REF-4529-xFVe,0.0,91706.45,91706.45,Star student risk media alone section.,Finance Manager
105,2025-10-04,VCH-000105,Salaries & Employee Benefits,Expense,OPEX,Sales,Global Enterprises,Bkash,BRAC Bank,REF-8060-TcAL,10851.89,0.0,10851.89,Current follow almost particularly issue sometimes play.,Finance Manager
106,2025-12-15,VCH-000106,Administrative Expenses,Expense,OPEX,Banking,ABC Corporation,Nagad,Dutch Bangla Bank,REF-9761-lwau,52240.83,0.0,52240.83,Body whose air almost seem.,Finance Manager
107,2026-05-13,VCH-000107,Administrative Expenses,Expense,OPEX,Operations,Tech Solutions,Cheque,Bkash,REF-4297-kVtP,88900.6,0.0,88900.6,Too support boy his let.,Finance Manager
108,2025-12-15,VCH-000108,Investment Payment,Equity,Capital,Capital,ABC Corporation,Bank Transfer,Bkash,REF-5447-OIxk,37921.09,0.0,37921.09,Perform director democratic make.,Accounts Officer
109,2025-06-28,VCH-000109,Loan From Managing Director,Liability,Loan,Sales,Global Enterprises,Bkash,BRAC Bank,REF-9308-IOaP,95376.87,0.0,95376.87,To campaign discover collection important mean.,Accounts Officer
110,2026-03-11,VCH-000110,Managing Director Personal Expense,Equity,Drawings,COGS,ABC Corporation,Nagad,Bkash,REF-7509-nSda,49689.81,0.0,49689.81,Away economy accept there.,Managing Director
111,2025-04-15,VCH-000111,Packing Materials,Expense,COGS,COGS,Tech Solutions,Cash,BRAC Bank,REF-3072-ZQJB,5680.88,0.0,5680.88,Type discover often thousand minute.,Finance Manager
112,2025-12-16,VCH-000112,Depreciation & Amortization,Expense,Non-Cash,COGS,Tech Solutions,Cheque,Dutch Bangla Bank,REF-2456-Vzkn,85533.57,0.0,85533.57,Letter teach blue success might fill.,Accounts Officer
113,2026-05-31,VCH-000113,Miscellaneous Expenses,Expense,Other,COGS,Green Energy Co.,Nagad,City Bank,REF-4952-SiLW,19763.74,0.0,19763.74,Use heart against American.,Admin
114,2025-12-10,VCH-000114,Cashout Charge,Expense,Bank Charge,COGS,Prime Services,Cash,BRAC Bank,REF-3824-HzIO,26518.69,0.0,26518.69,During particular town always.,Accounts Officer
115,2025-09-05,VCH-000115,Managing Director Personal Expense,Equity,Drawings,Sales,Innovate Ltd.,Nagad,Sonali Bank,REF-7687-ueNW,2285.23,0.0,2285.23,Room own play that radio professional.,Finance Manager
116,2025-12-15,VCH-000116,Production or Cost of Goods Sold (COGS),Expense,COGS,Sales,Prime Services,Cheque,Janata Bank,REF-7892-gSAU,89917.68,0.0,89917.68,Tree focus particularly trouble age short country.,Finance Manager
117,2025-10-14,VCH-000117,Production or Cost of Goods Sold (COGS),Expense,COGS,Banking,ABC Corporation,Cash,Dutch Bangla Bank,REF-6886-ZKDc,44774.33,0.0,44774.33,Worker evening record idea.,Finance Manager
118,2024-06-20,VCH-000118,Selling & Distribution Expenses,Expense,OPEX,Capital,Global Enterprises,Bank Transfer,BRAC Bank,REF-7515-deom,95901.35,0.0,95901.35,Yet occur increase former have central threat.,Managing Director
119,2025-09-17,VCH-000119,Selling & Distribution Expenses,Expense,OPEX,Operations,ABC Corporation,Cheque,Dutch Bangla Bank,REF-7726-Wlwv,15077.25,0.0,15077.25,Sea together early line yeah.,Finance Manager
120,2024-12-24,VCH-000120,Production or Cost of Goods Sold (COGS),Expense,COGS,Capital,Prime Services,Bank Transfer,Sonali Bank,REF-4488-taGM,95392.48,0.0,95392.48,Add if voice beautiful.,Accounts Officer
121,2025-11-19,VCH-000121,Managing Director Personal Expense,Equity,Drawings,Operations,XYZ Ltd.,Cash,Nagad,REF-3375-gALd,96727.37,0.0,96727.37,Campaign tree some themselves.,Finance Manager
122,2025-02-16,VCH-000122,Marketing & Sales Expenses,Expense,OPEX,Sales,Tech Solutions,Bkash,Rupali Bank,REF-6773-BBDi,72049.79,0.0,72049.79,Which interest cut.,Finance Manager
123,2025-08-21,VCH-000123,Salaries & Employee Benefits,Expense,OPEX,Banking,ABC Corporation,Cash,Janata Bank,REF-2606-ZNJk,55434.53,0.0,55434.53,Player across become positive.,Accounts Officer
124,2025-11-05,VCH-000124,Selling & Distribution Expenses,Expense,OPEX,Operations,XYZ Ltd.,Nagad,Bkash,REF-1523-DCxM,34686.04,0.0,34686.04,Shoulder rich table treatment either despite.,Accounts Officer
125,2024-09-22,VCH-000125,Salaries & Employee Benefits,Expense,OPEX,Expense,XYZ Ltd.,Cheque,Bkash,REF-7256-rBjL,16464.06,0.0,16464.06,Season suffer phone much when television.,Admin
126,2026-05-05,VCH-000126,Depreciation & Amortization,Expense,Non-Cash,COGS,XYZ Ltd.,Nagad,Rupali Bank,REF-0574-JmAW,16090.27,0.0,16090.27,Official forward food.,Admin
127,2025-03-18,VCH-000127,Selling & Distribution Expenses,Expense,OPEX,Capital,Global Enterprises,Cash,Bkash,REF-3650-LvmY,55639.36,0.0,55639.36,Amount right stay little nice.,Admin
128,2026-01-07,VCH-000128,Loan From Managing Director,Liability,Loan,COGS,Innovate Ltd.,Bkash,BRAC Bank,REF-1727-NiSC,25072.84,0.0,25072.84,Behavior man though next time human pretty draw.,Finance Manager
129,2025-07-20,VCH-000129,Loan From Managing Director,Liability,Loan,COGS,XYZ Ltd.,Cash,BRAC Bank,REF-4104-GwxF,46522.01,0.0,46522.01,Carry these along want.,Admin
130,2024-08-31,VCH-000130,Production or Cost of Goods Sold (COGS),Expense,COGS,Capital,Green Energy Co.,Cash,Dutch Bangla Bank,REF-0372-ysMS,88033.74,0.0,88033.74,Guy degree process full current.,Admin
131,2025-06-05,VCH-000131,Salaries & Employee Benefits,Expense,OPEX,COGS,Green Energy Co.,Bank Transfer,Bkash,REF-4924-iYLn,71913.76,0.0,71913.76,Week case speak.,Admin
132,2026-02-23,VCH-000132,Product Sales,Revenue,Sales,Expense,Global Enterprises,Cheque,BRAC Bank,REF-1341-teYA,0.0,99938.95,99938.95,Design finally however produce kind.,Managing Director
133,2025-10-20,VCH-000133,Packing Materials,Expense,COGS,Sales,Tech Solutions,Cash,Dutch Bangla Bank,REF-1716-gLik,3263.87,0.0,3263.87,Back city speech sign prove piece brother.,Admin
